dataset,method,epsilon,n,m,radius,alpha_used,violation_rate,mean_realized_error,q95_realized_error,mean_budget_saved,mean_avg_cost,median_threshold,oracle_lp_saved,oracle_lp_error
ImageNet,best_of_singles_bonferroni,0.05,50000,10000,0.013581015157406196,0.025,0.0,0.0372079,0.040342,0.37812179999999995,0.6218782,0.2923800051212311,0.67742,0.04926
ImageNet,best_of_singles_bonferroni,0.1,50000,10000,0.013581015157406196,0.025,0.0,0.0877342,0.09190699999999999,0.4744355,0.5255645,0.6641063094139099,0.81178,0.09938
ImageNet,best_of_singles_bonferroni,0.15,50000,10000,0.013581015157406196,0.025,0.0,0.138543,0.142845,0.5296214,0.47037860000000004,0.8140607660342707,0.90694,0.14978
ImageNet,lp_two_source_uniform_ucb,0.05,50000,10000,0.020376456967484798,0.05,0.0,0.0288941,0.03152,0.5889586,0.4110414,0.09,0.67742,0.04926
ImageNet,lp_two_source_uniform_ucb,0.1,50000,10000,0.020376456967484798,0.05,0.0,0.0792151,0.0841,0.7643713,0.2356287,0.31,0.81178,0.09938
ImageNet,lp_two_source_uniform_ucb,0.15,50000,10000,0.020376456967484798,0.05,0.0,0.1289489,0.1337,0.870401,0.129599,0.485,0.90694,0.14978
ImageNet,single_A_monotone_pac,0.05,50000,10000,0.012238734153404082,0.05,0.0,0.0377607,0.040882,0.37428249999999996,0.6257175,0.2902282476425171,0.67742,0.04926
ImageNet,single_A_monotone_pac,0.1,50000,10000,0.012238734153404082,0.05,0.0,0.0876367,0.09248100000000001,0.47123420000000005,0.5287658,0.6365024745464325,0.81178,0.09938
ImageNet,single_A_monotone_pac,0.15,50000,10000,0.012238734153404082,0.05,0.0,0.1382119,0.143404,0.5278028,0.47219720000000004,0.8136765186862007,0.90694,0.14978
ImageNet,single_B_monotone_pac,0.05,50000,10000,0.012238734153404082,0.05,0.0,0.0377245,0.04141399999999999,0.3807485,0.6192515000000001,0.29977652430534363,0.67742,0.04926
ImageNet,single_B_monotone_pac,0.1,50000,10000,0.012238734153404082,0.05,0.0,0.08783950000000001,0.092209,0.4755048,0.5244952,0.6727707386016846,0.81178,0.09938
ImageNet,single_B_monotone_pac,0.15,50000,10000,0.012238734153404082,0.05,0.0,0.1377941,0.143181,0.5297329,0.4702671,0.8142607907901998,0.90694,0.14978
ImageNetV2,best_of_singles_bonferroni,0.05,10000,2000,0.030368073095415258,0.025,0.0,0.021193,0.026,0.2334545,0.7665455,0.10039999999999999,0.4777,0.0489
ImageNetV2,best_of_singles_bonferroni,0.1,10000,2000,0.030368073095415258,0.025,0.0,0.0721725,0.0826,0.359234,0.640766,0.39725,0.616,0.0998
ImageNetV2,best_of_singles_bonferroni,0.15,10000,2000,0.030368073095415258,0.025,0.0,0.12253249999999999,0.13312,0.43906500000000004,0.560935,0.6296999999999999,0.7155,0.1488
ImageNetV2,lp_two_source_uniform_ucb,0.05,10000,2000,0.04556314291989523,0.05,0.0,0.0018295,0.0051,0.0908315,0.9091684999999999,0.0,0.4777,0.0489
ImageNetV2,lp_two_source_uniform_ucb,0.1,10000,2000,0.04556314291989523,0.05,0.0,0.0539305,0.0634,0.49408650000000004,0.5059135,0.13,0.616,0.0998
ImageNetV2,lp_two_source_uniform_ucb,0.15,10000,2000,0.04556314291989523,0.05,0.0,0.10389,0.1181,0.6257,0.3743,0.28,0.7155,0.1488
ImageNetV2,single_A_monotone_pac,0.05,10000,2000,0.027366641525559867,0.05,0.0,0.023005,0.028409999999999998,0.226384,0.773616,0.10009999999999997,0.4777,0.0489
ImageNetV2,single_A_monotone_pac,0.1,10000,2000,0.027366641525559867,0.05,0.0,0.07246999999999999,0.08213,0.34643450000000003,0.6535655,0.37865000000000004,0.616,0.0998
ImageNetV2,single_A_monotone_pac,0.15,10000,2000,0.027366641525559867,0.05,0.0,0.12257199999999999,0.133025,0.427582,0.572418,0.59565,0.7155,0.1488
ImageNetV2,single_B_monotone_pac,0.05,10000,2000,0.027366641525559867,0.05,0.0,0.022954,0.028119999999999992,0.24234000000000003,0.75766,0.11295,0.4777,0.0489
ImageNetV2,single_B_monotone_pac,0.1,10000,2000,0.027366641525559867,0.05,0.0,0.0734035,0.084305,0.363618,0.636382,0.4071,0.616,0.0998
ImageNetV2,single_B_monotone_pac,0.15,10000,2000,0.027366641525559867,0.05,0.0,0.12305300000000001,0.13489499999999996,0.44169600000000003,0.558304,0.6417999999999999,0.7155,0.1488
